Vehicle_Type,Lane_Type,Vehicle_Dimensions,Transaction_Amount,Amount_paid,Geographical_Location,Vehicle_Speed,Fraud_indicator,Year,Month,Day,Hour,Minute
2,1,2,0,0,3,58,Not Fraud,2023,3,5,3,15
5,1,0,350,90,3,89,Fraud,2023,3,6,7,55
6,0,1,140,90,3,44,Fraud,2023,3,7,12,30
4,1,1,160,160,3,78,Not Fraud,2023,3,8,16,5
3,0,0,180,180,3,67,Not Fraud,2023,3,9,21,45
0,1,0,350,350,3,95,Not Fraud,2023,3,10,3,25
1,0,2,120,90,3,55,Fraud,2023,3,11,8,55
2,1,2,0,0,3,80,Not Fraud,2023,3,12,13,35
5,0,0,350,350,3,62,Not Fraud,2023,3,13,18,10
6,1,1,140,90,3,87,Fraud,2023,3,14,23,50
4,0,1,160,160,3,47,Not Fraud,2023,3,15,5,30
3,1,0,180,100,3,73,Fraud,2023,3,16,10,5
0,0,0,350,350,3,68,Not Fraud,2023,3,17,14,45
1,1,2,120,120,3,91,Not Fraud,2023,3,18,19,20
2,1,2,0,0,3,53,Not Fraud,2023,3,19,0,55
5,1,0,350,100,3,82,Fraud,2023,3,20,6,35
6,0,1,140,110,3,56,Fraud,2023,3,21,11,5
4,1,1,160,90,3,84,Fraud,2023,3,22,15,40
3,0,0,180,180,3,69,Not Fraud,2023,3,23,21,20
0,1,0,350,350,3,94,Not Fraud,2023,3,24,2,0
1,0,2,120,100,3,49,Fraud,2023,3,25,6,30
2,1,2,0,0,3,76,Not Fraud,2023,3,26,11,5
5,0,0,350,350,3,63,Not Fraud,2023,3,27,16,45
6,1,1,140,120,3,88,Fraud,2023,3,28,21,20
4,0,1,160,60,3,74,Fraud,2023,3,29,2,50
3,1,0,180,90,3,96,Fraud,2023,3,30,7,30
0,0,0,350,140,3,61,Fraud,2023,3,31,12,5
1,1,2,120,60,3,85,Fraud,2023,4,1,16,40
2,1,2,0,0,3,52,Not Fraud,2023,4,2,22,20
5,1,0,350,350,3,79,Not Fraud,2023,4,3,3,0
6,0,1,140,140,3,66,Not Fraud,2023,4,4,7,30
4,1,1,160,160,3,90,Not Fraud,2023,4,5,12,5
3,0,0,180,140,3,48,Fraud,2023,4,6,15,40
0,1,0,350,90,3,77,Fraud,2023,4,7,21,20
1,0,2,120,90,3,60,Fraud,2023,4,8,2,55
2,1,2,0,0,3,83,Not Fraud,2023,4,9,6,30
5,0,0,350,350,3,71,Not Fraud,2023,4,10,11,10
6,1,1,140,90,3,97,Fraud,2023,4,11,15,50
4,0,1,160,160,3,46,Not Fraud,2023,4,12,20,25
3,1,0,180,0,3,81,Fraud,2023,4,13,1,0
0,0,0,350,100,3,64,Fraud,2023,4,14,6,40
1,1,2,120,120,3,93,Not Fraud,2023,4,15,11,15
2,1,2,0,0,3,57,Not Fraud,2023,4,16,15,50
5,1,0,350,350,3,86,Not Fraud,2023,4,17,21,30
6,0,1,140,90,3,55,Fraud,2023,4,18,3,10
4,1,1,160,160,3,82,Not Fraud,2023,4,19,7,40
3,0,0,180,100,3,63,Fraud,2023,4,20,12,20
0,1,0,350,350,3,90,Not Fraud,2023,4,21,16,55
1,0,2,120,120,3,48,Not Fraud,2023,4,22,22,35
2,1,2,0,0,3,76,Not Fraud,2023,4,23,4,15
5,0,0,350,100,3,58,Fraud,2023,4,24,8,50
6,1,1,140,140,3,87,Not Fraud,2023,4,25,13,30
4,0,1,160,100,3,67,Fraud,2023,4,26,18,5
3,1,0,180,90,3,94,Fraud,2023,4,27,23,40
0,0,0,350,100,3,71,Fraud,2023,1,1,8,15
1,1,2,120,120,3,89,Not Fraud,2023,1,2,12,45
2,1,2,0,0,3,52,Not Fraud,2023,1,3,16,30
5,1,0,350,350,3,79,Not Fraud,2023,1,4,22,10
6,0,1,140,120,3,66,Fraud,2023,1,5,5,40
4,1,1,160,160,3,95,Not Fraud,2023,1,6,11,20
3,0,0,180,120,3,44,Fraud,2023,1,7,14,55
0,1,0,350,350,3,78,Not Fraud,2023,1,8,18,25
1,0,2,120,90,3,61,Fraud,2023,1,9,2,5
2,1,2,0,0,3,85,Not Fraud,2023,1,10,6,35
5,0,0,350,350,3,49,Not Fraud,2023,1,11,10,0
6,1,1,140,90,3,74,Fraud,2023,1,12,15,40
4,0,1,160,120,3,69,Fraud,2023,1,13,20,15
3,1,0,180,180,3,92,Not Fraud,2023,1,14,1,55
0,0,0,350,140,3,57,Fraud,2023,1,15,7,30
1,1,2,120,120,3,83,Not Fraud,2023,1,16,12,10
2,1,2,0,0,3,68,Not Fraud,2023,1,17,17,45
5,1,0,350,350,3,96,Not Fraud,2023,1,18,22,20
6,0,1,140,90,3,46,Fraud,2023,1,19,4,0
4,1,1,160,120,3,81,Fraud,2023,1,20,8,30
3,0,0,180,100,3,60,Fraud,2023,1,21,13,10
0,1,0,350,180,3,88,Fraud,2023,1,22,16,45
1,0,2,120,0,3,53,Fraud,2023,1,23,22,25
2,1,2,0,0,3,77,Not Fraud,2023,1,24,2,55
5,0,0,350,350,3,64,Not Fraud,2023,1,25,7,35
6,1,1,140,140,3,91,Not Fraud,2023,1,26,12,10
4,0,1,160,160,3,50,Not Fraud,2023,1,27,15,45
3,1,0,180,180,3,75,Not Fraud,2023,1,28,21,25
0,0,0,350,90,3,59,Fraud,2023,1,29,3,5
1,1,2,120,90,3,84,Fraud,2023,1,30,7,35
2,1,2,0,0,3,66,Not Fraud,2023,1,31,11,10
5,1,0,350,350,3,93,Not Fraud,2023,2,1,16,50
6,0,1,140,100,3,45,Fraud,2023,2,2,21,25
4,1,1,160,160,3,80,Not Fraud,2023,2,3,3,5
3,0,0,180,180,3,62,Not Fraud,2023,2,4,8,40
0,1,0,350,180,3,86,Fraud,2023,2,5,13,20
1,0,2,120,120,3,51,Not Fraud,2023,2,6,18,55
2,1,2,0,0,3,73,Not Fraud,2023,2,7,23,30
5,0,0,350,100,3,56,Fraud,2023,2,8,5,10
6,1,1,140,140,3,82,Not Fraud,2023,2,9,9,40
4,0,1,160,100,3,70,Fraud,2023,2,10,14,20
3,1,0,180,180,3,97,Not Fraud,2023,2,11,17,55
0,0,0,350,180,3,47,Fraud,2023,2,12,23,35
1,1,2,120,180,3,84,Fraud,2023,2,13,4,5
2,1,2,0,0,3,65,Not Fraud,2023,2,14,8,45
5,1,0,350,180,3,92,Fraud,2023,2,15,13,20
6,0,1,140,120,3,53,Fraud,2023,2,16,16,55
4,1,1,160,160,3,79,Not Fraud,2023,2,17,22,35
3,0,0,180,160,3,61,Fraud,2023,2,18,4,15
0,1,0,350,180,3,89,Fraud,2023,2,19,8,45
1,0,2,120,120,3,44,Not Fraud,2023,2,20,13,25
2,1,2,0,0,3,78,Not Fraud,2023,2,21,18,0
5,0,0,350,100,3,67,Fraud,2023,2,22,22,35
6,1,1,140,90,3,95,Fraud,2023,2,23,4,15
4,0,1,160,160,3,55,Not Fraud,2023,2,24,8,50
3,1,0,180,120,3,80,Fraud,2023,2,25,13,30
0,0,0,350,350,3,62,Not Fraud,2023,2,26,18,5
1,1,2,120,120,3,87,Not Fraud,2023,2,27,23,40
2,1,2,0,0,3,47,Not Fraud,2023,2,28,5,20
5,1,0,350,120,3,73,Fraud,2023,3,1,9,50
6,0,1,140,100,3,68,Fraud,2023,3,2,14,30
4,1,1,160,90,3,91,Fraud,2023,3,3,18,5
3,0,0,180,90,3,52,Fraud,2023,3,4,23,45
0,1,0,350,90,3,82,Fraud,2023,3,5,3,15
1,0,2,120,120,3,56,Not Fraud,2023,3,6,7,55
2,1,2,0,0,3,84,Not Fraud,2023,3,7,12,30
5,0,0,350,350,3,69,Not Fraud,2023,3,8,16,5
6,1,1,140,120,3,94,Fraud,2023,3,9,21,45
4,0,1,160,120,3,49,Fraud,2023,3,10,3,25
3,1,0,180,180,3,76,Not Fraud,2023,3,11,8,55
0,0,0,350,350,3,63,Not Fraud,2023,3,12,13,35
1,1,2,120,120,3,88,Not Fraud,2023,3,13,18,10
2,1,2,0,0,3,74,Not Fraud,2023,3,14,23,50
5,1,0,350,120,3,96,Fraud,2023,3,15,5,30
6,0,1,140,100,3,61,Fraud,2023,3,16,10,5
4,1,1,160,160,3,85,Not Fraud,2023,3,17,14,45
3,0,0,180,180,3,52,Not Fraud,2023,3,18,19,20
0,1,0,350,350,3,79,Not Fraud,2023,3,19,0,55
1,0,2,120,120,3,66,Not Fraud,2023,3,20,6,35
2,1,2,0,0,3,90,Not Fraud,2023,3,21,11,5
5,0,0,350,350,3,48,Not Fraud,2023,3,22,15,40
6,1,1,140,140,3,77,Not Fraud,2023,3,23,21,20
4,0,1,160,160,3,60,Not Fraud,2023,3,24,2,0
3,1,0,180,90,3,83,Fraud,2023,3,25,6,30
0,0,0,350,160,3,71,Fraud,2023,3,26,11,5
1,1,2,120,120,3,97,Not Fraud,2023,3,27,16,45
2,1,2,0,0,3,46,Not Fraud,2023,3,28,21,20
5,1,0,350,100,3,81,Fraud,2023,3,29,2,50
6,0,1,140,140,3,64,Not Fraud,2023,3,30,7,30
4,1,1,160,160,3,93,Not Fraud,2023,1,1,8,15
3,0,0,180,120,3,57,Fraud,2023,1,2,12,45
0,1,0,350,100,3,86,Fraud,2023,1,3,16,30
1,0,2,120,120,3,55,Not Fraud,2023,1,4,22,10
2,1,2,0,0,3,82,Not Fraud,2023,1,5,5,40
5,0,0,350,90,3,63,Fraud,2023,1,6,11,20
6,1,1,140,120,3,90,Fraud,2023,1,7,14,55
4,0,1,160,160,3,48,Not Fraud,2023,1,8,18,25
3,1,0,180,180,3,76,Not Fraud,2023,1,9,2,5
0,0,0,350,350,3,58,Not Fraud,2023,1,10,6,35
1,1,2,120,0,3,87,Fraud,2023,1,11,10,0
2,1,2,0,0,3,67,Not Fraud,2023,1,12,15,40
5,1,0,350,120,3,94,Fraud,2023,1,13,20,15
6,0,1,140,140,3,71,Not Fraud,2023,1,14,1,55
4,1,1,160,60,3,89,Fraud,2023,1,15,7,30
3,0,0,180,140,3,52,Fraud,2023,1,16,12,10
0,1,0,350,350,3,79,Not Fraud,2023,1,17,17,45
1,0,2,120,120,3,66,Not Fraud,2023,1,18,22,20
2,1,2,0,0,3,95,Not Fraud,2023,1,19,4,0
5,0,0,350,350,3,44,Not Fraud,2023,1,20,8,30
6,1,1,140,100,3,78,Fraud,2023,1,21,13,10
4,0,1,160,60,3,61,Fraud,2023,1,22,16,45
3,1,0,180,180,3,85,Not Fraud,2023,1,23,22,25
0,0,0,350,100,3,49,Fraud,2023,1,24,2,55
1,1,2,120,120,3,74,Not Fraud,2023,1,25,7,35
2,1,2,0,0,3,69,Not Fraud,2023,1,26,12,10
5,1,0,350,350,3,92,Not Fraud,2023,1,27,15,45
6,0,1,140,90,3,57,Fraud,2023,1,28,21,25
4,1,1,160,60,3,83,Fraud,2023,1,29,3,5
3,0,0,180,180,3,68,Not Fraud,2023,1,30,7,35
0,1,0,350,350,3,96,Not Fraud,2023,1,31,11,10
1,0,2,120,120,3,46,Not Fraud,2023,2,1,16,50
2,1,2,0,0,3,81,Not Fraud,2023,2,2,21,25
5,0,0,350,350,3,60,Not Fraud,2023,2,3,3,5
6,1,1,140,140,3,88,Not Fraud,2023,2,4,8,40
4,0,1,160,160,3,53,Not Fraud,2023,2,5,13,20
3,1,0,180,180,3,77,Not Fraud,2023,2,6,18,55
0,0,0,350,350,3,64,Not Fraud,2023,2,7,23,30
1,1,2,120,120,3,91,Not Fraud,2023,2,8,5,10
2,1,2,0,0,3,50,Not Fraud,2023,2,9,9,40
5,1,0,350,350,3,75,Not Fraud,2023,2,10,14,20
6,0,1,140,140,3,59,Not Fraud,2023,2,11,17,55
4,1,1,160,140,3,84,Fraud,2023,2,12,23,35
3,0,0,180,100,3,66,Fraud,2023,2,13,4,5
0,1,0,350,350,3,93,Not Fraud,2023,2,14,8,45
1,0,2,120,120,3,45,Not Fraud,2023,2,15,13,20
2,1,2,0,0,3,80,Not Fraud,2023,2,16,16,55
5,0,0,350,160,3,62,Fraud,2023,2,17,22,35
6,1,1,140,120,3,86,Fraud,2023,2,18,4,15
4,0,1,160,160,3,51,Not Fraud,2023,2,19,8,45
3,1,0,180,160,3,73,Fraud,2023,2,20,13,25
0,0,0,350,350,3,56,Not Fraud,2023,2,21,18,0
1,1,2,120,120,3,82,Not Fraud,2023,2,22,22,35
2,1,2,0,0,3,70,Not Fraud,2023,2,23,4,15
5,1,0,350,350,3,97,Not Fraud,2023,2,24,8,50
6,0,1,140,140,3,47,Not Fraud,2023,2,25,13,30
4,1,1,160,160,3,84,Not Fraud,2023,2,26,18,5
3,0,0,180,100,3,65,Fraud,2023,2,27,23,40
0,1,0,350,350,3,92,Not Fraud,2023,2,28,5,20
1,0,2,120,120,3,53,Not Fraud,2023,3,1,9,50
2,1,2,0,0,3,79,Not Fraud,2023,3,2,14,30
5,0,0,350,100,3,61,Fraud,2023,3,3,18,5
6,1,1,140,140,3,89,Not Fraud,2023,3,4,23,45
4,0,1,160,160,3,44,Not Fraud,2023,3,5,3,15
3,1,0,180,140,3,78,Fraud,2023,3,6,7,55
0,0,0,350,350,3,67,Not Fraud,2023,3,7,12,30
1,1,2,120,120,3,95,Not Fraud,2023,3,8,16,5
2,1,2,0,0,3,55,Not Fraud,2023,3,9,21,45
5,1,0,350,350,3,80,Not Fraud,2023,3,10,3,25
6,0,1,140,140,3,62,Not Fraud,2023,3,11,8,55
4,1,1,160,160,3,87,Not Fraud,2023,3,12,13,35
3,0,0,180,180,3,47,Not Fraud,2023,3,13,18,10
0,1,0,350,350,3,73,Not Fraud,2023,3,14,23,50
1,0,2,120,120,3,68,Not Fraud,2023,3,15,5,30
2,1,2,0,0,3,91,Not Fraud,2023,3,16,10,5
5,0,0,350,350,3,52,Not Fraud,2023,3,17,14,45
6,1,1,140,140,3,82,Not Fraud,2023,3,18,19,20
4,0,1,160,160,3,56,Not Fraud,2023,3,19,0,55
3,1,0,180,180,3,84,Not Fraud,2023,3,20,6,35
0,0,0,350,120,3,69,Fraud,2023,3,21,11,5
1,1,2,120,120,3,94,Not Fraud,2023,3,22,15,40
2,1,2,0,0,3,49,Not Fraud,2023,3,23,21,20
5,1,0,350,100,3,76,Fraud,2023,3,24,2,0
6,0,1,140,120,3,63,Fraud,2023,3,25,6,30
4,1,1,160,90,3,88,Fraud,2023,3,26,11,5
3,0,0,180,120,3,74,Fraud,2023,3,27,16,45
0,1,0,350,350,3,96,Not Fraud,2023,3,28,21,20
1,0,2,120,120,3,61,Not Fraud,2023,3,29,2,50
2,1,2,0,0,3,85,Not Fraud,2023,3,30,7,30
5,0,0,350,350,3,52,Not Fraud,2023,3,31,12,5
6,1,1,140,140,3,79,Not Fraud,2023,4,1,16,40
4,0,1,160,120,3,66,Fraud,2023,4,2,22,20
3,1,0,180,90,3,90,Fraud,2023,4,3,3,0
0,0,0,350,350,3,48,Not Fraud,2023,4,4,7,30
1,1,2,120,120,3,77,Not Fraud,2023,4,5,12,5
2,1,2,0,0,3,60,Not Fraud,2023,4,6,15,40
5,1,0,350,350,3,83,Not Fraud,2023,4,7,21,20
6,0,1,140,140,3,71,Not Fraud,2023,4,8,2,55
4,1,1,160,160,3,97,Not Fraud,2023,4,9,6,30
3,0,0,180,180,3,46,Not Fraud,2023,4,10,11,10
0,1,0,350,350,3,81,Not Fraud,2023,4,11,15,50
1,0,2,120,0,3,64,Fraud,2023,4,12,20,25
2,1,2,0,0,3,93,Not Fraud,2023,4,13,1,0
5,0,0,350,350,3,57,Not Fraud,2023,4,14,6,40
6,1,1,140,140,3,86,Not Fraud,2023,4,15,11,15
4,0,1,160,160,3,55,Not Fraud,2023,4,16,15,50
3,1,0,180,180,3,82,Not Fraud,2023,4,17,21,30
0,0,0,350,350,3,63,Not Fraud,2023,4,18,3,10
1,1,2,120,90,3,90,Fraud,2023,4,19,7,40
2,1,2,0,0,3,48,Not Fraud,2023,4,20,12,20
5,1,0,350,350,3,76,Not Fraud,2023,4,21,16,55
6,0,1,140,140,3,58,Not Fraud,2023,4,22,22,35
4,1,1,160,90,3,87,Fraud,2023,4,23,4,15
3,0,0,180,180,3,67,Not Fraud,2023,4,24,8,50
0,1,0,350,350,3,94,Not Fraud,2023,4,25,13,30
1,0,2,120,120,3,71,Not Fraud,2023,4,26,18,5
2,1,2,0,0,3,89,Not Fraud,2023,4,27,23,40
5,0,0,350,350,3,52,Not Fraud,2023,4,28,5,20
6,1,1,140,140,3,79,Not Fraud,2023,4,29,9,50
4,0,1,160,100,3,66,Fraud,2023,4,30,14,30
3,1,0,180,180,3,95,Not Fraud,2023,5,1,18,5
0,0,0,350,100,3,44,Fraud,2023,5,2,23,45
1,1,2,120,180,3,78,Fraud,2023,5,3,3,15
2,1,2,0,0,3,61,Not Fraud,2023,5,4,7,55
5,1,0,350,160,3,85,Fraud,2023,5,5,12,30
6,0,1,140,120,3,49,Fraud,2023,5,6,16,5
4,1,1,160,120,3,74,Fraud,2023,5,7,21,45
3,0,0,180,120,3,69,Fraud,2023,5,8,3,25
0,1,0,350,350,3,92,Not Fraud,2023,5,9,8,55
1,0,2,120,120,3,57,Not Fraud,2023,5,10,13,35
2,1,2,0,0,3,83,Not Fraud,2023,5,11,18,10
5,0,0,350,350,3,68,Not Fraud,2023,5,12,23,50
6,1,1,140,140,3,96,Not Fraud,2023,5,13,5,30
4,0,1,160,160,3,46,Not Fraud,2023,5,14,10,5
3,1,0,180,180,3,81,Not Fraud,2023,5,15,14,45
0,0,0,350,90,3,60,Fraud,2023,5,16,19,20
1,1,2,120,120,3,88,Not Fraud,2023,5,17,0,55
2,1,2,0,0,3,53,Not Fraud,2023,5,18,6,35
5,1,0,350,120,3,77,Fraud,2023,5,19,11,5
6,0,1,140,140,3,64,Not Fraud,2023,5,20,15,40
4,1,1,160,100,3,91,Fraud,2023,5,21,21,20
3,0,0,180,90,3,50,Fraud,2023,5,22,2,0
0,1,0,350,120,3,75,Fraud,2023,5,23,6,30
1,0,2,120,90,3,59,Fraud,2023,5,24,11,5
2,1,2,0,0,3,84,Not Fraud,2023,5,25,16,45
5,0,0,350,60,3,66,Fraud,2023,5,26,21,20
6,1,1,140,140,3,93,Not Fraud,2023,5,27,2,50
4,0,1,160,160,3,45,Not Fraud,2023,5,28,7,30
3,1,0,180,120,3,80,Fraud,2023,5,29,12,5
0,0,0,350,350,3,62,Not Fraud,2023,5,30,16,40
1,1,2,120,120,3,86,Not Fraud,2023,5,31,22,20
2,1,2,0,0,3,51,Not Fraud,2023,6,1,3,0
5,1,0,350,100,3,73,Fraud,2023,6,2,7,30
6,0,1,140,140,3,56,Not Fraud,2023,6,3,12,5
4,1,1,160,160,3,82,Not Fraud,2023,6,4,15,40
3,0,0,180,180,3,70,Not Fraud,2023,6,5,21,20
0,1,0,350,120,3,97,Fraud,2023,6,6,2,55
1,0,2,120,120,3,47,Not Fraud,2023,6,7,6,30
2,1,2,0,0,3,84,Not Fraud,2023,6,8,11,10
5,0,0,350,350,3,65,Not Fraud,2023,6,9,15,50
6,1,1,140,140,3,92,Not Fraud,2023,6,10,20,25
4,0,1,160,160,3,53,Not Fraud,2023,6,11,1,0
3,1,0,180,140,3,79,Fraud,2023,6,12,6,40
0,0,0,350,350,3,61,Not Fraud,2023,6,13,11,15
1,1,2,120,0,3,89,Fraud,2023,6,14,15,50
2,1,2,0,0,3,44,Not Fraud,2023,6,15,21,30
5,1,0,350,350,3,78,Not Fraud,2023,6,16,3,10
6,0,1,140,140,3,67,Not Fraud,2023,6,17,7,40
4,1,1,160,140,3,95,Fraud,2023,6,18,12,20
3,0,0,180,180,3,55,Not Fraud,2023,6,19,16,55
0,1,0,350,350,3,80,Not Fraud,2023,6,20,22,35
1,0,2,120,90,3,62,Fraud,2023,6,21,4,15
2,1,2,0,0,3,87,Not Fraud,2023,6,22,8,50
5,0,0,350,350,3,47,Not Fraud,2023,1,1,8,15
6,1,1,140,100,3,73,Fraud,2023,1,2,12,45
4,0,1,160,160,3,68,Not Fraud,2023,1,3,16,30
3,1,0,180,100,3,91,Fraud,2023,1,4,22,10
0,0,0,350,120,3,52,Fraud,2023,1,5,5,40
1,1,2,120,120,3,82,Not Fraud,2023,1,6,11,20
2,1,2,0,0,3,56,Not Fraud,2023,1,7,14,55
5,1,0,350,350,3,84,Not Fraud,2023,1,8,18,25
6,0,1,140,140,3,69,Not Fraud,2023,1,9,2,5
4,1,1,160,160,3,94,Not Fraud,2023,1,10,6,35
3,0,0,180,180,3,49,Not Fraud,2023,1,11,10,0
0,1,0,350,350,3,76,Not Fraud,2023,1,12,15,40
1,0,2,120,120,3,63,Not Fraud,2023,1,13,20,15
2,1,2,0,0,3,88,Not Fraud,2023,1,14,1,55
5,0,0,350,350,3,74,Not Fraud,2023,1,15,7,30
6,1,1,140,140,3,96,Not Fraud,2023,1,16,12,10
4,0,1,160,100,3,61,Fraud,2023,1,17,17,45
3,1,0,180,180,3,85,Not Fraud,2023,1,18,22,20
0,0,0,350,350,3,52,Not Fraud,2023,1,19,4,0
1,1,2,120,120,3,79,Not Fraud,2023,1,20,8,30
2,1,2,0,0,3,66,Not Fraud,2023,1,21,13,10
5,1,0,350,90,3,90,Fraud,2023,1,22,16,45
6,0,1,140,120,3,48,Fraud,2023,1,23,22,25
4,1,1,160,160,3,77,Not Fraud,2023,1,24,2,55
3,0,0,180,180,3,60,Not Fraud,2023,1,25,7,35
0,1,0,350,350,3,83,Not Fraud,2023,1,26,12,10
1,0,2,120,120,3,71,Not Fraud,2023,1,27,15,45
2,1,2,0,0,3,97,Not Fraud,2023,1,28,21,25
5,0,0,350,350,3,46,Not Fraud,2023,1,29,3,5
6,1,1,140,140,3,81,Not Fraud,2023,1,30,7,35
4,0,1,160,160,3,64,Not Fraud,2023,1,31,11,10
3,1,0,180,90,3,93,Fraud,2023,2,1,16,50
0,0,0,350,350,3,57,Not Fraud,2023,2,2,21,25
1,1,2,120,120,3,86,Not Fraud,2023,2,3,3,5
2,1,2,0,0,3,55,Not Fraud,2023,2,4,8,40
5,1,0,350,350,3,82,Not Fraud,2023,2,5,13,20
6,0,1,140,140,3,63,Not Fraud,2023,2,6,18,55
4,1,1,160,160,3,90,Not Fraud,2023,2,7,23,30
3,0,0,180,160,3,48,Fraud,2023,2,8,5,10
0,1,0,350,100,3,76,Fraud,2023,2,9,9,40
1,0,2,120,120,3,58,Not Fraud,2023,2,10,14,20
2,1,2,0,0,3,87,Not Fraud,2023,2,11,17,55
5,0,0,350,350,3,67,Not Fraud,2023,2,12,23,35
6,1,1,140,90,3,94,Fraud,2023,2,13,4,5
4,0,1,160,160,3,71,Not Fraud,2023,2,14,8,45
3,1,0,180,180,3,89,Not Fraud,2023,2,15,13,20
0,0,0,350,350,3,52,Not Fraud,2023,2,16,16,55
1,1,2,120,0,3,79,Fraud,2023,2,17,22,35
2,1,2,0,0,3,66,Not Fraud,2023,2,18,4,15
5,1,0,350,350,3,95,Not Fraud,2023,2,19,8,45
6,0,1,140,140,3,44,Not Fraud,2023,2,20,13,25
4,1,1,160,120,3,78,Fraud,2023,2,21,18,0
3,0,0,180,180,3,61,Not Fraud,2023,2,22,22,35
0,1,0,350,350,3,85,Not Fraud,2023,2,23,4,15
1,0,2,120,120,3,49,Not Fraud,2023,2,24,8,50
2,1,2,0,0,3,74,Not Fraud,2023,2,25,13,30
5,0,0,350,350,3,69,Not Fraud,2023,2,26,18,5
6,1,1,140,140,3,92,Not Fraud,2023,2,27,23,40
4,0,1,160,100,3,57,Fraud,2023,2,28,5,20
3,1,0,180,90,3,83,Fraud,2023,3,1,9,50
0,0,0,350,350,3,68,Not Fraud,2023,3,2,14,30
1,1,2,120,100,3,96,Fraud,2023,3,3,18,5
2,1,2,0,0,3,46,Not Fraud,2023,3,4,23,45
5,1,0,350,120,3,81,Fraud,2023,3,5,3,15
6,0,1,140,140,3,60,Not Fraud,2023,3,6,7,55
4,1,1,160,160,3,88,Not Fraud,2023,3,7,12,30
3,0,0,180,100,3,53,Fraud,2023,3,8,16,5
0,1,0,350,350,3,77,Not Fraud,2023,3,9,21,45
